id,name,lat,lng
2,Buckingham Fountain,41.87649,-87.62051
3,Shedd Aquarium,41.86723,-87.61536
4,Burnham Harbor,41.85627,-87.61334
5,State St & Harrison St,41.87403,-87.6277
6,Dusable Harbor,41.88697,-87.61281
7,Field Blvd & South Water St,41.88627,-87.61751
9,Leavitt St & Archer Ave,41.82878,-87.68061
11,Jeffery Blvd & 71st St,41.76662,-87.57646
12,South Shore Dr & 71st St,41.76641,-87.5657
13,Wilton Ave & Diversey Pkwy,41.93242,-87.65271
14,Morgan St & 18th St,41.85808,-87.65109
15,Racine Ave & 18th St,41.85819,-87.65648
16,Paulina Ave & North Ave,41.91035,-87.67008
17,Honore St & Division St,41.90313,-87.67391
18,Wacker Dr & Washington St,41.88317,-87.63735
19,Throop St & Taylor St,41.86892,-87.65913
20,Sheffield Ave & Kingsbury St,41.91055,-87.65313
21,Aberdeen St & Jackson Blvd,41.87773,-87.6548
22,May St & Taylor St,41.86947,-87.65548
23,Orleans St & Elm St,41.90292,-87.63772
24,Fairbanks Ct & Grand Ave,41.8919,-87.62063
25,Michigan Ave & Pearson St,41.89751,-87.62354
26,McClurg Ct & Illinois St,41.89057,-87.61798
27,Larrabee St & North Ave,41.91019,-87.6435
28,Larrabee St & Menomonee St,41.91469,-87.64333
29,Noble St & Milwaukee Ave,41.90069,-87.66259
30,Ashland Ave & Augusta Blvd,41.89964,-87.66789
31,Franklin St & Chicago Ave,41.89677,-87.63572
32,Racine Ave & Congress Pkwy,41.87464,-87.65703
33,State St & Van Buren St,41.87715,-87.62786
34,Cannon Dr & Fullerton Ave,41.92675,-87.63444
35,Streeter Dr & Grand Ave,41.89227,-87.61206
36,Franklin St & Jackson Blvd,41.87776,-87.63525
37,Dearborn St & Adams St,41.87921,-87.62975
38,Clark St & Lake St,41.88599,-87.63089
39,Wabash Ave & Adams St,41.87948,-87.62571
40,LaSalle St & Adams St,41.87944,-87.63197
41,Federal St & Polk St,41.87209,-87.62957
42,Wabash Ave & Cermak Rd,41.85261,-87.62653
43,Michigan Ave & Washington St,41.88396,-87.62455
44,State St & Randolph St,41.88468,-87.62782
45,Michigan Ave & Ida B Wells Dr,41.87623,-87.62444
46,Wells St & Walton St,41.89994,-87.63444
47,State St & Kinzie St,41.88921,-87.62775
48,Larrabee St & Kingsbury St,41.89772,-87.64302
49,Dearborn St & Monroe St,41.88116,-87.62963
50,Clark St & Ida B Wells Dr,41.87592,-87.6307
51,Clark St & Randolph St,41.88462,-87.63176
52,Michigan Ave & Lake St,41.886,-87.62421
53,Wells St & Huron St,41.89476,-87.63439
54,Ogden Ave & Chicago Ave,41.89637,-87.65407
55,Halsted St & Roosevelt Rd,41.86735,-87.64863
56,Desplaines St & Kinzie St,41.88866,-87.64442
57,Clinton St & Roosevelt Rd,41.86712,-87.64107
58,Marshfield Ave & Cortland St,41.91602,-87.66894
59,Wabash Ave & Roosevelt Rd,41.86721,-87.62597
60,Dayton St & North Ave,41.91059,-87.64942
61,Wood St & Milwaukee Ave,41.90764,-87.67254
62,McCormick Place,41.85141,-87.61884
66,Clinton St & Lake St,41.88557,-87.64186
67,Sheffield Ave & Fullerton Ave,41.9256,-87.65371
68,Clinton St & Tilden St,41.87587,-87.64077
69,Damen Ave & Pierce Ave,41.90939,-87.6777
71,Morgan St & Lake St,41.8855,-87.65233
72,Wabash Ave & 16th St,41.86039,-87.62581
73,Jefferson St & Monroe St,41.8804,-87.64273
74,Kingsbury St & Erie St,41.89384,-87.64173
75,Canal St & Jackson Blvd,41.87724,-87.63937
76,Lake Shore Dr & Monroe St,41.88098,-87.61675
77,Clinton St & Madison St,41.88214,-87.64108
80,Aberdeen St & Monroe St,41.88042,-87.65556
81,Daley Center Plaza,41.88417,-87.6296
84,Milwaukee Ave & Grand Ave,41.89161,-87.64833
85,Michigan Ave & Oak St,41.90098,-87.62375
86,Eckhart Park,41.89639,-87.661
87,Racine Ave & Fullerton Ave,41.92559,-87.65843
88,Racine Ave & Randolph St,41.88407,-87.65691
89,Financial Pl & Ida B Wells Dr,41.87501,-87.6331
90,Millennium Park,41.88107,-87.62409
91,Clinton St & Washington Blvd,41.88336,-87.64122
92,Carpenter St & Huron St,41.89455,-87.65346
93,Sheffield Ave & Willow St,41.91371,-87.65285
94,Clark St & Armitage Ave,41.91831,-87.6363
95,Stony Island Ave & 64th St,41.77887,-87.58666
96,Desplaines St & Randolph St,41.8846,-87.64455
97,Field Museum,41.86531,-87.6179
98,LaSalle St & Washington St,41.88266,-87.63251
99,Lake Shore Dr & Ohio St,41.89255,-87.61449
100,Orleans St & Merchandise Mart Plaza,41.88814,-87.63657
101,63rd St Beach,41.78105,-87.57611
102,Stony Island Ave & 67th St,41.77345,-87.58533
103,Clinton St & Polk St,41.87146,-87.64094
106,State St & Pearson St,41.89746,-87.62874
107,Desplaines St & Jackson Blvd,41.87822,-87.644
108,Halsted St & Polk St,41.87183,-87.64664
109,900 W Harrison St,41.87475,-87.64981
110,Dearborn St & Erie St,41.89406,-87.6293
111,Sedgwick St & Huron St,41.89466,-87.63837
112,Green St & Randolph St,41.88362,-87.6486
113,Bissell St & Armitage Ave,41.91846,-87.65222
114,Sheffield Ave & Waveland Ave,41.94935,-87.65451
115,Sheffield Ave & Wellington Ave,41.93628,-87.65266
116,Western Ave & Winnebago Ave,41.91555,-87.68703
117,Wilton Ave & Belmont Ave,41.94016,-87.65302
118,Sedgwick St & North Ave,41.91138,-87.63868
119,Ashland Ave & Lake St,41.88593,-87.66717
120,Wentworth Ave & Cermak Rd,41.8531,-87.63191
121,Blackstone Ave & Hyde Park Blvd,41.80256,-87.59035
122,Ogden Ave & Congress Pkwy,41.87501,-87.67325
123,California Ave & Milwaukee Ave,41.92268,-87.69714
124,Damen Ave & Cullerton St,41.85492,-87.67609
125,Rush St & Hubbard St,41.89018,-87.62621
126,Clark St & North Ave,41.91196,-87.63197
127,Lincoln Ave & Fullerton Ave,41.92592,-87.64927
128,Damen Ave & Chicago Ave,41.89571,-87.67716
